City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dalnegorsk,44.5604,135.5701,-18.8,66,10,5.18,RU,1702227846
83,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,1702227764
84,afaahiti,-17.75,-149.2833,25.93,84,86,11.18,PF,1702227602
85,katiola,8.1333,-5.1,32.35,18,50,1.26,CI,1702227846
86,thurso,58.5927,-3.5259,7.14,81,100,13.67,GB,1702227669
87,bilibino,68.0546,166.4372,-19.82,100,45,1.29,RU,1702227653
88,nikki,9.9401,3.2108,30.22,11,21,1.36,BJ,1702227847
89,port lincoln,-34.7333,135.8667,15.72,94,100,11.52,AU,1702227811
90,vadso,70.0744,29.7487,-11.91,85,75,8.23,NO,1702227715
91,carnarvon,-24.8667,113.6333,27.35,24,0,7.72,AU,1702227847
92,enewetak,11.3474,162.3373,27.61,73,80,7.75,MH,1702227785
93,kuala terengganu,5.3302,103.1408,27.97,83,20,2.57,MY,1702227847
94,totness,5.8833,-56.3167,29.01,67,55,3.87,SR,1702227848
95,tirunelveli,8.7333,77.7,25.82,85,23,4.11,IN,1702227848
96,papatowai,-46.5619,169.4708,4.34,93,37,1.84,NZ,1702227632
97,kangding,30.0513,101.9603,4.37,72,33,1.13,CN,1702227848
98,saint-tropez,43.2693,6.6398,15.4,58,100,3.71,FR,1702227848
99,albany,42.6001,-73.9662,13.18,88,100,1.34,US,1702227659
100,newman,37.3138,-121.0208,7.3,37,100,0.45,US,1702227647
101,weno,7.4515,151.8468,27.97,78,100,3.6,FM,1702227622
102,nangong,37.3581,115.3744,-1.73,63,100,5.69,CN,1702227849
103,laguna,38.421,-121.4238,12.27,100,0,0.0,US,1702227600
104,minas de marcona,-15.2119,-75.1103,20.34,58,99,3.57,PE,1702227728
105,ndibene dahra,15.3338,-15.4766,36.99,8,18,4.3,SN,1702227849
106,ponta delgada,37.7333,-25.6667,18.44,94,75,4.63,PT,1702227754
107,callao,-12.0667,-77.15,23.16,64,40,4.12,PE,1702227769
108,puerto ayora,-0.7393,-90.3518,27.98,71,48,2.83,EC,1702227645
109,mount pleasant,32.7941,-79.8626,24.0,85,40,6.69,US,1702227849
110,dapa,9.7594,126.0531,26.93,79,60,2.77,PH,1702227850
111,port macquarie,-31.4333,152.9167,16.61,87,2,3.85,AU,1702227718
112,hotan,37.0997,79.9269,6.2,20,0,3.65,CN,1702227726
113,kupang,-10.1667,123.5833,26.73,87,100,1.57,ID,1702227708
114,dudinka,69.4058,86.1778,-29.07,97,100,5.36,RU,1702227638
115,acajutla,13.5928,-89.8275,31.06,54,0,2.19,SV,1702227850
116,alvorada,-12.48,-49.1247,39.2,23,51,0.86,BR,1702227851
117,yenangyaung,20.4667,94.8833,24.07,67,29,2.01,MM,1702227851
118,kadugli,11.0167,29.7167,29.46,16,13,2.4,SD,1702227608
119,cizre,37.3272,42.1903,10.56,93,75,2.57,TR,1702227851
120,bredasdorp,-34.5322,20.0403,19.0,64,0,6.2,ZA,1702227615
121,shubarshi,48.5872,57.1869,-13.8,63,4,6.71,KZ,1702227678
122,hithadhoo,-0.6,73.0833,28.17,73,85,0.3,MV,1702227775
123,nagqu,31.5,92.0,-9.88,48,1,0.81,CN,1702227734
124,nuuk,64.1835,-51.7216,-1.66,74,40,1.03,GL,1702227777
125,carolina beach,34.0352,-77.8936,23.36,85,92,0.45,US,1702227852
126,panjab,34.388,67.0233,-0.9,30,42,1.5,AF,1702227852
127,yigo village,13.5361,144.8886,26.16,88,75,6.17,GU,1702227852
128,lyubimets,41.8333,26.0833,2.71,86,95,1.49,BG,1702227852
129,uturoa,-16.7333,-151.4333,26.7,81,64,8.75,PF,1702227786
130,stanley,54.868,-1.6985,5.77,94,75,3.09,GB,1702227598
131,orchard mesa,39.043,-108.5523,-0.52,59,100,2.57,US,1702227853
132,vorgashor,67.5833,63.95,-25.57,100,94,2.74,RU,1702227726
133,vilyuysk,63.7553,121.6247,-27.9,96,100,3.33,RU,1702227599
